Scores...
LuxR_sensor,CinR_sensor,TetR_sensor,LacI_sensor,AmtR,SrpR,AmeR,BetI,LmrA,HlyIIR,VanR,PhlF,YFP_reporter
3.00e-02,5.00e-03,4.00e-02,8.00e-03,1.80e+00,3.16e+00,4.12e+00,2.84e+00,8.06e-02,4.58e-03,6.17e+00,7.08e-03,7.08e-03
3.00e-02,5.00e-03,4.00e-02,1.69e+00,1.80e+00,9.88e-03,4.12e+00,2.84e+00,8.38e-02,4.58e-03,6.17e+00,7.07e-03,7.07e-03
3.00e-02,5.00e-03,1.97e+00,8.00e-03,4.17e-02,3.16e+00,4.12e+00,2.84e+00,9.88e-02,4.58e-03,6.17e+00,7.06e-03,7.06e-03
3.00e-02,5.00e-03,1.97e+00,1.69e+00,4.17e-02,9.88e-03,4.12e+00,2.84e+00,1.01e+00,4.58e-03,6.17e+00,6.74e-03,6.74e-03
3.00e-02,3.18e+00,4.00e-02,8.00e-03,1.80e+00,3.16e+00,4.12e+00,4.33e-02,8.06e-02,4.62e-03,6.17e+00,7.08e-03,7.08e-03
3.00e-02,3.18e+00,4.00e-02,1.69e+00,1.80e+00,9.88e-03,4.12e+00,4.33e-02,8.38e-02,4.62e-03,6.17e+00,7.07e-03,7.07e-03
3.00e-02,3.18e+00,1.97e+00,8.00e-03,4.17e-02,3.16e+00,4.12e+00,4.33e-02,9.88e-02,4.62e-03,6.17e+00,7.06e-03,7.06e-03
3.00e-02,3.18e+00,1.97e+00,1.69e+00,4.17e-02,9.88e-03,4.12e+00,4.33e-02,1.01e+00,4.62e-03,6.17e+00,6.74e-03,6.74e-03
2.23e+00,5.00e-03,4.00e-02,8.00e-03,1.80e+00,3.16e+00,3.37e-01,2.84e+00,8.06e-02,4.33e-02,3.73e+00,1.00e-02,1.00e-02
2.23e+00,5.00e-03,4.00e-02,1.69e+00,1.80e+00,9.88e-03,3.37e-01,2.84e+00,8.38e-02,4.33e-02,3.73e+00,9.98e-03,9.98e-03
2.23e+00,5.00e-03,1.97e+00,8.00e-03,4.17e-02,3.16e+00,3.37e-01,2.84e+00,9.88e-02,4.33e-02,3.73e+00,9.80e-03,9.80e-03
2.23e+00,5.00e-03,1.97e+00,1.69e+00,4.17e-02,9.88e-03,3.37e-01,2.84e+00,1.01e+00,4.33e-02,3.73e+00,6.91e-03,6.91e-03
2.23e+00,3.18e+00,4.00e-02,8.00e-03,1.80e+00,3.16e+00,3.37e-01,4.33e-02,8.06e-02,1.63e-01,2.16e-01,6.25e+00,6.25e+00
2.23e+00,3.18e+00,4.00e-02,1.69e+00,1.80e+00,9.88e-03,3.37e-01,4.33e-02,8.38e-02,1.63e-01,2.16e-01,6.15e+00,6.15e+00
2.23e+00,3.18e+00,1.97e+00,8.00e-03,4.17e-02,3.16e+00,3.37e-01,4.33e-02,9.88e-02,1.63e-01,2.16e-01,5.59e+00,5.59e+00
2.23e+00,3.18e+00,1.97e+00,1.69e+00,4.17e-02,9.88e-03,3.37e-01,4.33e-02,1.01e+00,1.63e-01,2.16e-01,1.10e-02,1.10e-02
""
Binary...
LuxR_sensor_I/O,CinR_sensor_I/O,TetR_sensor_I/O,LacI_sensor_I/O,AmtR_I/O,SrpR_I/O,AmeR_I/O,BetI_I/O,LmrA_I/O,HlyIIR_I/O,VanR_I/O,PhlF_I/O,YFP_reporter_I/O
0,0,0,0,1,1,1,1,0,0,1,0,0
0,0,0,1,1,0,1,1,0,0,1,0,0
0,0,1,0,0,1,1,1,0,0,1,0,0
0,0,1,1,0,0,1,1,1,0,1,0,0
0,1,0,0,1,1,1,0,0,0,1,0,0
0,1,0,1,1,0,1,0,0,0,1,0,0
0,1,1,0,0,1,1,0,0,0,1,0,0
0,1,1,1,0,0,1,0,1,0,1,0,0
1,0,0,0,1,1,0,1,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,1,0,0,1,0,1,0,0,1,0,0
1,0,1,1,0,0,0,1,1,0,1,0,0
1,1,0,0,1,1,0,0,0,1,0,1,1
1,1,0,1,1,0,0,0,0,1,0,1,1
1,1,1,0,0,1,0,0,0,1,0,1,1
1,1,1,1,0,0,0,0,1,1,0,0,0
