part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
attB2_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,attB2,4,0.0;0.0;0.0,-10,90
attB7_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,attB7,4,0.0;0.0;0.0,-10,90
attB5_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,attB5,4,0.0;0.0;0.0,-10,90
PBad,Promoter,,,,,0.0;0.0;0.0,,,,,,PBad,4,0.0;0.0;0.0,-18,90
pLambda,Promoter,,,,,0.23;0.66;0.88,,,,,,pLambda,4,0.23;0.66;0.88,-24,90
Lambda,CDS,,,,,0.23;0.66;0.88,,,,,,Lambda,4,0.23;0.66;0.88,-22,90
R2,RBS,,,,,0.23;0.66;0.88,,,,,,R2,4,0.23;0.66;0.88,-14,90
RiboJ54,Ribozyme,,,,,0.23;0.66;0.88,,,,,,RiboJ54,4,0.23;0.66;0.88,-24,90
Ret0,Terminator,,,,,0.23;0.66;0.88,,,,,,Ret0,4,0.23;0.66;0.88,-18,90
SarJ,Ribozyme,,,,,0.83;0.47;0.61,,,,,,SarJ,4,0.83;0.47;0.61,-18,90
DT19,Terminator,,,,,0.83;0.47;0.61,,,,,,DT19,4,0.83;0.47;0.61,-18,90
pP2,Promoter,,,,,0.79;0.19;0.78,,,,,,pP2,4,0.79;0.19;0.78,-16,90
pWphi,Promoter,,,,,0.83;0.47;0.61,,,,,,pWphi,4,0.83;0.47;0.61,-20,90
P2,CDS,,,,,0.79;0.19;0.78,,,,,,P2,4,0.79;0.19;0.78,-14,90
Wphi,CDS,,,,,0.83;0.47;0.61,,,,,,Wphi,4,0.83;0.47;0.61,-18,90
R13,RBS,,,,,0.79;0.19;0.78,,,,,,R13,4,0.79;0.19;0.78,-16,90
R17,RBS,,,,,0.83;0.47;0.61,,,,,,R17,4,0.83;0.47;0.61,-16,90
RiboJ64,Ribozyme,,,,,0.79;0.19;0.78,,,,,,RiboJ64,4,0.79;0.19;0.78,-24,90
DT86,Terminator,,,,,0.79;0.19;0.78,,,,,,DT86,4,0.79;0.19;0.78,-18,90
F_scar,Scar,,,,,0.0;0.0;0.0,,,,,,F_scar,4,0.0;0.0;0.0,-22,90
E_scar,Scar,,,,,0.0;0.0;0.0,,,,,,E_scar,4,0.0;0.0;0.0,-22,90
D_scar,Scar,,,,,0.0;0.0;0.0,,,,,,D_scar,4,0.0;0.0;0.0,-22,90
C_scar,Scar,,,,,0.0;0.0;0.0,,,,,,C_scar,4,0.0;0.0;0.0,-22,90
B_scar,Scar,,,,,0.0;0.0;0.0,,,,,,B_scar,4,0.0;0.0;0.0,-22,90
A_scar,Scar,,,,,0.0;0.0;0.0,,,,,,A_scar,4,0.0;0.0;0.0,-22,90
Y_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Y_scar,4,0.0;0.0;0.0,-22,90
X_scar,Scar,,,,,0.0;0.0;0.0,,,,,,X_scar,4,0.0;0.0;0.0,-22,90
V_scar,Scar,,,,,0.0;0.0;0.0,,,,,,V_scar,4,0.0;0.0;0.0,-22,90
U_scar,Scar,,,,,0.0;0.0;0.0,,,,,,U_scar,4,0.0;0.0;0.0,-22,90
R_scar,Scar,,,,,0.0;0.0;0.0,,,,,,R_scar,4,0.0;0.0;0.0,-22,90
Q_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Q_scar,4,0.0;0.0;0.0,-22,90
P_scar,Scar,,,,,0.0;0.0;0.0,,,,,,P_scar,4,0.0;0.0;0.0,-22,90
O_scar,Scar,,,,,0.0;0.0;0.0,,,,,,O_scar,4,0.0;0.0;0.0,-22,90
G_scar,Scar,,,,,0.0;0.0;0.0,,,,,,G_scar,4,0.0;0.0;0.0,-22,90
sCin_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,,sCin_casse...,4,0.00;0.00;0.00,-36,90
