Scores...
Cuma_sensor,Ara_sensor,pC-HSL_in,P2,TP901,Wphi,P2hd,933W,Lambda,DAPG_out,pC-HSL_out
3.60e-03,2.10e-03,2.00e-02,1.90e+00,2.23e+00,2.52e-02,1.48e+00,3.56e-02,6.69e-02,3.80e-04,5.12e-04
3.60e-03,2.10e-03,6.00e+00,1.90e+00,3.22e-02,2.52e-02,1.48e+00,3.56e-02,4.50e+00,3.80e-04,9.59e-02
3.60e-03,2.13e+00,2.00e-02,1.90e+00,2.23e+00,1.98e-02,1.68e-02,3.61e+00,4.88e-02,3.80e-04,4.50e-04
3.60e-03,2.13e+00,6.00e+00,1.90e+00,3.22e-02,1.98e-02,1.68e-02,3.61e+00,5.37e-02,3.80e-04,4.65e-04
3.14e+00,2.10e-03,2.00e-02,4.41e-02,2.23e+00,2.22e+00,1.54e-02,3.63e+00,4.88e-02,5.42e-02,4.50e-04
3.14e+00,2.10e-03,6.00e+00,4.41e-02,3.22e-02,2.22e+00,1.54e-02,3.63e+00,5.36e-02,5.42e-02,4.65e-04
3.14e+00,2.13e+00,2.00e-02,4.41e-02,2.23e+00,2.36e-02,1.45e-02,3.65e+00,4.88e-02,3.80e-04,4.50e-04
3.14e+00,2.13e+00,6.00e+00,4.41e-02,3.22e-02,2.36e-02,1.45e-02,3.65e+00,5.35e-02,3.80e-04,4.65e-04
""
Binary...
Cuma_sensor_I/O,Ara_sensor_I/O,pC-HSL_in_I/O,P2_I/O,TP901_I/O,Wphi_I/O,P2hd_I/O,933W_I/O,Lambda_I/O,DAPG_out_I/O,pC-HSL_out_I/O
0,0,0,1,1,0,1,0,0,0,0
0,0,1,1,0,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,0,0
0,1,1,1,0,0,0,1,0,0,0
1,0,0,0,1,1,0,1,0,1,0
1,0,1,0,0,1,0,1,0,1,0
1,1,0,0,1,0,0,1,0,0,0
1,1,1,0,0,0,0,1,0,0,0
