Scores...
LacI_sensor,AraC_sensor,LuxR_sensor,AmtR,LmrA,SrpR,BetI,QacR,PhlF,YFP_reporter_2
3.40e-03,8.20e-03,2.50e-02,3.77e+00,2.20e+00,2.06e+00,7.60e-02,2.58e+00,2.00e-02,1.52e-04
3.40e-03,8.20e-03,3.10e-01,3.77e+00,2.20e+00,9.15e-02,7.60e-02,2.58e+00,2.02e-02,1.54e-04
3.40e-03,2.50e+00,2.50e-02,3.77e+00,2.08e-01,2.06e+00,8.59e-02,2.51e+00,2.00e-02,1.52e-04
3.40e-03,2.50e+00,3.10e-01,3.77e+00,2.08e-01,9.15e-02,8.59e-02,2.51e+00,2.03e-02,1.54e-04
2.80e+00,8.20e-03,2.50e-02,7.02e-02,2.20e+00,2.06e+00,1.31e-01,2.13e+00,2.00e-02,1.52e-04
2.80e+00,8.20e-03,3.10e-01,7.02e-02,2.20e+00,9.15e-02,1.31e-01,2.13e+00,2.05e-02,1.56e-04
2.80e+00,2.50e+00,2.50e-02,7.02e-02,2.08e-01,2.06e+00,2.75e+00,3.58e-02,2.06e-02,1.57e-04
2.80e+00,2.50e+00,3.10e-01,7.02e-02,2.08e-01,9.15e-02,2.75e+00,3.58e-02,6.28e+00,4.77e-02
""
Binary...
LacI_sensor_I/O,AraC_sensor_I/O,LuxR_sensor_I/O,AmtR_I/O,LmrA_I/O,SrpR_I/O,BetI_I/O,QacR_I/O,PhlF_I/O,YFP_reporter_2_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
