part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
Loc1_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,Loc1,4,0.0;0.0;0.0,-10,90
Loc2_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,Loc2,4,0.0;0.0;0.0,-10,90
Loc3_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,Loc3,4,0.0;0.0;0.0,-10,90
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,,pTac,4,0.0;0.0;0.0,-18,90
pBAD,Promoter,,,,,0.0;0.0;0.0,,,,,,pBAD,4,0.0;0.0;0.0,-18,90
pLuxStar,Promoter,,,,,0.0;0.0;0.0,,,,,,pLuxStar,4,0.0;0.0;0.0,-26,90
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,,BydvJ,4,0.23;0.66;0.88,-20,90
A1,RBS,,,,,0.23;0.66;0.88,,,,,,A1,4,0.23;0.66;0.88,-14,90
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,,AmtR,4,0.23;0.66;0.88,-18,90
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,,L3S2P55,4,0.23;0.66;0.88,-24,90
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,,pAmtR,4,0.23;0.66;0.88,-20,90
RiboJ57,Ribozyme,,,,,0.33;0.33;0.64,,,,,,RiboJ57,4,0.33;0.33;0.64,-24,90
E1,RBS,,,,,0.33;0.33;0.64,,,,,,E1,4,0.33;0.33;0.64,-14,90
BetI,CDS,,,,,0.33;0.33;0.64,,,,,,BetI,4,0.33;0.33;0.64,-18,90
L3S3P11,Terminator,,,,,0.33;0.33;0.64,,,,,,L3S3P11,4,0.33;0.33;0.64,-24,90
pBetI,Promoter,,,,,0.33;0.33;0.64,,,,,,pBetI,4,0.33;0.33;0.64,-20,90
RiboJ64,Ribozyme,,,,,0.94;0.3;0.14,,,,,,RiboJ64,4,0.94;0.3;0.14,-24,90
N1,RBS,,,,,0.94;0.3;0.14,,,,,,N1,4,0.94;0.3;0.14,-14,90
LmrA,CDS,,,,,0.94;0.3;0.14,,,,,,LmrA,4,0.94;0.3;0.14,-18,90
ECK120010876,Terminator,,,,,0.94;0.3;0.14,,,,,,ECK120010876,4,0.94;0.3;0.14,-34,90
pLmrA,Promoter,,,,,0.94;0.3;0.14,,,,,,pLmrA,4,0.94;0.3;0.14,-20,90
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,,RiboJ53,4,0.98;0.64;0.15,-24,90
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,,PhlF,4,0.98;0.64;0.15,-18,90
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,,ECK120033737,4,0.98;0.64;0.15,-34,90
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,,pPhlF,4,0.98;0.64;0.15,-20,90
P3,RBS,,,,,0.98;0.64;0.15,,,,,,P3,4,0.98;0.64;0.15,-14,90
RiboJ60,Ribozyme,,,,,0.4;0.74;0.27,,,,,,RiboJ60,4,0.4;0.74;0.27,-24,90
QacR,CDS,,,,,0.4;0.74;0.27,,,,,,QacR,4,0.4;0.74;0.27,-18,90
ECK120010818,Terminator,,,,,0.4;0.74;0.27,,,,,,ECK120010818,4,0.4;0.74;0.27,-34,90
pQacR,Promoter,,,,,0.4;0.74;0.27,,,,,,pQacR,4,0.4;0.74;0.27,-20,90
Q2,RBS,,,,,0.4;0.74;0.27,,,,,,Q2,4,0.4;0.74;0.27,-14,90
RiboJ10,Ribozyme,,,,,0.0;0.41;0.22,,,,,,RiboJ10,4,0.0;0.41;0.22,-24,90
SrpR,CDS,,,,,0.0;0.41;0.22,,,,,,SrpR,4,0.0;0.41;0.22,-18,90
pSrpR,Promoter,,,,,0.0;0.41;0.22,,,,,,pSrpR,4,0.0;0.41;0.22,-20,90
ECK120029600,Terminator,,,,,0.0;0.41;0.22,,,,,,ECK120029600,4,0.0;0.41;0.22,-34,90
S4,RBS,,,,,0.0;0.41;0.22,,,,,,S4,4,0.0;0.41;0.22,-14,90
F_scar,Scar,,,,,0.0;0.0;0.0,,,,,,F_scar,4,0.0;0.0;0.0,-22,90
E_scar,Scar,,,,,0.0;0.0;0.0,,,,,,E_scar,4,0.0;0.0;0.0,-22,90
D_scar,Scar,,,,,0.0;0.0;0.0,,,,,,D_scar,4,0.0;0.0;0.0,-22,90
C_scar,Scar,,,,,0.0;0.0;0.0,,,,,,C_scar,4,0.0;0.0;0.0,-22,90
B_scar,Scar,,,,,0.0;0.0;0.0,,,,,,B_scar,4,0.0;0.0;0.0,-22,90
A_scar,Scar,,,,,0.0;0.0;0.0,,,,,,A_scar,4,0.0;0.0;0.0,-22,90
Y_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Y_scar,4,0.0;0.0;0.0,-22,90
X_scar,Scar,,,,,0.0;0.0;0.0,,,,,,X_scar,4,0.0;0.0;0.0,-22,90
V_scar,Scar,,,,,0.0;0.0;0.0,,,,,,V_scar,4,0.0;0.0;0.0,-22,90
U_scar,Scar,,,,,0.0;0.0;0.0,,,,,,U_scar,4,0.0;0.0;0.0,-22,90
R_scar,Scar,,,,,0.0;0.0;0.0,,,,,,R_scar,4,0.0;0.0;0.0,-22,90
Q_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Q_scar,4,0.0;0.0;0.0,-22,90
P_scar,Scar,,,,,0.0;0.0;0.0,,,,,,P_scar,4,0.0;0.0;0.0,-22,90
O_scar,Scar,,,,,0.0;0.0;0.0,,,,,,O_scar,4,0.0;0.0;0.0,-22,90
G_scar,Scar,,,,,0.0;0.0;0.0,,,,,,G_scar,4,0.0;0.0;0.0,-22,90
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,,YFP_cassette,4,0.00;0.00;0.00,-34,90
