Scores...
AraC_sensor,LacI_sensor,TetR_sensor,IcaRA,AmeR,AmtR,QacR,LitR,PhlF,YFP_reporter_3
8.20e-03,3.40e-03,1.30e-03,2.14e+00,3.76e+00,3.79e+00,3.09e-02,3.00e+00,2.00e-02,1.52e-04
8.20e-03,3.40e-03,4.40e+00,2.14e+00,3.76e+00,6.50e-02,3.09e-02,3.00e+00,2.01e-02,1.53e-04
8.20e-03,2.80e+00,1.30e-03,2.14e+00,2.29e-01,3.79e+00,3.82e-02,2.66e+00,2.00e-02,1.52e-04
8.20e-03,2.80e+00,4.40e+00,2.14e+00,2.29e-01,6.50e-02,3.82e-02,2.66e+00,2.02e-02,1.54e-04
2.50e+00,3.40e-03,1.30e-03,1.03e-01,3.76e+00,3.79e+00,3.25e-02,2.92e+00,2.00e-02,1.52e-04
2.50e+00,3.40e-03,4.40e+00,1.03e-01,3.76e+00,6.50e-02,3.25e-02,2.92e+00,2.01e-02,1.53e-04
2.50e+00,2.80e+00,1.30e-03,1.03e-01,2.29e-01,3.79e+00,7.22e-01,1.15e-01,2.00e-02,1.52e-04
2.50e+00,2.80e+00,4.40e+00,1.03e-01,2.29e-01,6.50e-02,7.22e-01,1.15e-01,5.02e+00,3.82e-02
""
Binary...
AraC_sensor_I/O,LacI_sensor_I/O,TetR_sensor_I/O,IcaRA_I/O,AmeR_I/O,AmtR_I/O,QacR_I/O,LitR_I/O,PhlF_I/O,YFP_reporter_3_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
