Scores...
pC-HSL_in,OC6_in,aTc_sensor,IPTG_sensor,TP901,P22,Wphi,P2,P2hd,Lambda,933W,OHC12_out
2.00e-02,6.00e-02,1.60e-02,3.02e-02,2.45e+00,1.22e-01,1.11e+00,1.89e+00,1.76e-02,1.35e-01,2.39e+00,1.90e-04
2.00e-02,6.00e-02,1.60e-02,4.09e+00,2.45e+00,1.22e-01,1.11e+00,3.76e-02,1.17e+00,6.66e-02,2.39e+00,1.90e-04
2.00e-02,6.00e-02,6.13e+00,3.02e-02,3.22e-02,1.58e-01,8.02e-01,1.89e+00,1.76e-02,2.17e-01,2.39e+00,1.92e-04
2.00e-02,6.00e-02,6.13e+00,4.09e+00,3.22e-02,1.58e-01,8.02e-01,3.76e-02,1.17e+00,7.40e-02,2.39e+00,1.90e-04
2.00e-02,7.50e+00,1.60e-02,3.02e-02,2.45e+00,1.56e-01,8.14e-01,1.89e+00,1.76e-02,2.12e-01,2.71e-02,1.92e-04
2.00e-02,7.50e+00,1.60e-02,4.09e+00,2.45e+00,1.56e-01,8.14e-01,3.76e-02,1.17e+00,7.36e-02,2.71e-02,1.90e-04
2.00e-02,7.50e+00,6.13e+00,3.02e-02,3.22e-02,2.17e+00,2.36e-02,1.89e+00,1.76e-02,4.94e+00,2.71e-02,5.71e-02
2.00e-02,7.50e+00,6.13e+00,4.09e+00,3.22e-02,2.17e+00,2.36e-02,3.76e-02,1.17e+00,1.25e-01,2.71e-02,1.90e-04
6.00e+00,6.00e-02,1.60e-02,3.02e-02,2.45e+00,1.22e-01,1.11e+00,3.37e-02,1.22e+00,6.57e-02,2.39e+00,1.90e-04
6.00e+00,6.00e-02,1.60e-02,4.09e+00,2.45e+00,1.22e-01,1.11e+00,3.20e-02,1.24e+00,6.53e-02,2.39e+00,1.90e-04
6.00e+00,6.00e-02,6.13e+00,3.02e-02,3.22e-02,1.58e-01,8.02e-01,3.37e-02,1.22e+00,7.26e-02,2.39e+00,1.90e-04
6.00e+00,6.00e-02,6.13e+00,4.09e+00,3.22e-02,1.58e-01,8.02e-01,3.20e-02,1.24e+00,7.20e-02,2.39e+00,1.90e-04
6.00e+00,7.50e+00,1.60e-02,3.02e-02,2.45e+00,1.56e-01,8.14e-01,3.37e-02,1.22e+00,7.22e-02,2.71e-02,1.90e-04
6.00e+00,7.50e+00,1.60e-02,4.09e+00,2.45e+00,1.56e-01,8.14e-01,3.20e-02,1.24e+00,7.17e-02,2.71e-02,1.90e-04
6.00e+00,7.50e+00,6.13e+00,3.02e-02,3.22e-02,2.17e+00,2.36e-02,3.37e-02,1.22e+00,1.19e-01,2.71e-02,1.90e-04
6.00e+00,7.50e+00,6.13e+00,4.09e+00,3.22e-02,2.17e+00,2.36e-02,3.20e-02,1.24e+00,1.17e-01,2.71e-02,1.90e-04
""
Binary...
pC-HSL_in_I/O,OC6_in_I/O,aTc_sensor_I/O,IPTG_sensor_I/O,TP901_I/O,P22_I/O,Wphi_I/O,P2_I/O,P2hd_I/O,Lambda_I/O,933W_I/O,OHC12_out_I/O
0,0,0,0,1,0,1,1,0,0,1,0
0,0,0,1,1,0,1,0,1,0,1,0
0,0,1,0,0,0,1,1,0,0,1,0
0,0,1,1,0,0,1,0,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,0
0,1,0,1,1,0,1,0,1,0,0,0
0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,1,0,1,0,1,0
1,0,0,1,1,0,1,0,1,0,1,0
1,0,1,0,0,0,1,0,1,0,1,0
1,0,1,1,0,0,1,0,1,0,1,0
1,1,0,0,1,0,1,0,1,0,0,0
1,1,0,1,1,0,1,0,1,0,0,0
1,1,1,0,0,1,0,0,1,0,0,0
1,1,1,1,0,1,0,0,1,0,0,0
