part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
attB2_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,attB2,4,0.0;0.0;0.0,-10,90
attB7_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,attB7,4,0.0;0.0;0.0,-10,90
attB5_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,attB5,4,0.0;0.0;0.0,-10,90
PTac,Promoter,,,,,0.0;0.0;0.0,,,,,,PTac,4,0.0;0.0;0.0,-18,90
PTet,Promoter,,,,,0.0;0.0;0.0,,,,,,PTet,4,0.0;0.0;0.0,-18,90
pLuxB,Promoter,,,,,0.0;0.0;0.0,,,,,,pLuxB,4,0.0;0.0;0.0,-20,90
pRpa,Promoter,,,,,0.0;0.0;0.0,,,,,,pRpa,4,0.0;0.0;0.0,-18,90
pLambda,Promoter,,,,,0.23;0.66;0.88,,,,,,pLambda,4,0.23;0.66;0.88,-24,90
Lambda,CDS,,,,,0.23;0.66;0.88,,,,,,Lambda,4,0.23;0.66;0.88,-22,90
R2,RBS,,,,,0.23;0.66;0.88,,,,,,R2,4,0.23;0.66;0.88,-14,90
RiboJ54,Ribozyme,,,,,0.23;0.66;0.88,,,,,,RiboJ54,4,0.23;0.66;0.88,-24,90
Ret0,Terminator,,,,,0.23;0.66;0.88,,,,,,Ret0,4,0.23;0.66;0.88,-18,90
pP22,Promoter,,,,,0.93;0.18;0.17,,,,,,pP22,4,0.93;0.18;0.17,-18,90
P22,CDS,,,,,0.93;0.18;0.17,,,,,,P22,4,0.93;0.18;0.17,-16,90
R3,RBS,,,,,0.93;0.18;0.17,,,,,,R3,4,0.93;0.18;0.17,-14,90
RiboJ71,Ribozyme,,,,,0.93;0.18;0.17,,,,,,RiboJ71,4,0.93;0.18;0.17,-24,90
IlvGEDA,Terminator,,,,,0.93;0.18;0.17,,,,,,IlvGEDA,4,0.93;0.18;0.17,-24,90
pTP901,Promoter,,,,,0.44;0.8;0.88,,,,,,pTP901,4,0.44;0.8;0.88,-22,90
TP901,CDS,,,,,0.44;0.8;0.88,,,,,,TP901,4,0.44;0.8;0.88,-20,90
R4,RBS,,,,,0.44;0.8;0.88,,,,,,R4,4,0.44;0.8;0.88,-14,90
RiboJ69,Ribozyme,,,,,0.44;0.8;0.88,,,,,,RiboJ69,4,0.44;0.8;0.88,-24,90
RpoC,Terminator,,,,,0.44;0.8;0.88,,,,,,RpoC,4,0.44;0.8;0.88,-18,90
SarJ,Ribozyme,,,,,0.83;0.47;0.61,,,,,,SarJ,4,0.83;0.47;0.61,-18,90
DT19,Terminator,,,,,0.83;0.47;0.61,,,,,,DT19,4,0.83;0.47;0.61,-18,90
p933W,Promoter,,,,,0.59;0.21;0.81,,,,,,p933W,4,0.59;0.21;0.81,-20,90
933W,CDS,,,,,0.59;0.21;0.81,,,,,,933W,4,0.59;0.21;0.81,-18,90
R9,RBS,,,,,0.59;0.21;0.81,,,,,,R9,4,0.59;0.21;0.81,-14,90
