Scores...
OHC14_sensor,aTc_sensor,IPTG_sensor,AmeRs,AmtR,PhlF,BetI,QacR,BM3R1,YFP_reporter
1.00e-02,2.00e-02,2.00e-02,3.65e+00,2.01e+00,5.08e+00,2.60e-01,4.50e+00,6.45e-03,1.22e-04
1.00e-02,2.00e-02,4.20e+00,3.65e+00,2.01e+00,9.87e-03,2.60e-01,4.50e+00,7.22e-03,1.37e-04
1.00e-02,5.41e+00,2.00e-02,3.65e+00,2.98e-02,5.08e+00,2.87e-01,4.50e+00,6.45e-03,1.22e-04
1.00e-02,5.41e+00,4.20e+00,3.65e+00,2.98e-02,9.87e-03,2.87e-01,4.50e+00,7.22e-03,1.37e-04
4.38e+00,2.00e-02,2.00e-02,3.94e-02,2.01e+00,5.08e+00,5.20e-01,4.23e+00,6.45e-03,1.23e-04
4.38e+00,2.00e-02,4.20e+00,3.94e-02,2.01e+00,9.87e-03,5.20e-01,4.23e+00,7.38e-03,1.40e-04
4.38e+00,5.41e+00,2.00e-02,3.94e-02,2.98e-02,5.08e+00,2.25e+00,1.53e-01,6.92e-03,1.32e-04
4.38e+00,5.41e+00,4.20e+00,3.94e-02,2.98e-02,9.87e-03,2.25e+00,1.53e-01,5.95e-01,1.13e-02
""
Binary...
OHC14_sensor_I/O,aTc_sensor_I/O,IPTG_sensor_I/O,AmeRs_I/O,AmtR_I/O,PhlF_I/O,BetI_I/O,QacR_I/O,BM3R1_I/O,YFP_reporter_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
