Scores...
BA_sensor,IPTG_sensor,aTc_sensor,M1,M7,M3,M5,M6,nanoluc_reporter
1.35e-02,2.73e-02,2.86e-02,6.49e-01,1.45e-01,4.01e-02,2.56e-01,2.02e-02,2.02e-02
1.35e-02,2.73e-02,6.45e+00,6.49e-01,5.00e-03,4.01e-02,2.56e-01,3.03e-02,3.03e-02
1.35e-02,4.30e+00,2.86e-02,1.48e-02,1.45e-01,3.20e-01,6.40e-02,3.67e-02,3.67e-02
1.35e-02,4.30e+00,6.45e+00,1.48e-02,5.00e-03,3.20e-01,6.40e-02,7.73e-02,7.73e-02
1.48e+00,2.73e-02,2.86e-02,6.49e-01,1.45e-01,1.03e-02,3.20e-01,1.75e-02,1.75e-02
1.48e+00,2.73e-02,6.45e+00,6.49e-01,5.00e-03,1.03e-02,3.20e-01,2.47e-02,2.47e-02
1.48e+00,4.30e+00,2.86e-02,1.48e-02,1.45e-01,1.55e-02,3.08e-01,1.79e-02,1.79e-02
1.48e+00,4.30e+00,6.45e+00,1.48e-02,5.00e-03,1.55e-02,3.08e-01,2.56e-02,2.56e-02
""
Binary...
BA_sensor_I/O,IPTG_sensor_I/O,aTc_sensor_I/O,M1_I/O,M7_I/O,M3_I/O,M5_I/O,M6_I/O,nanoluc_reporter_I/O
0,0,0,1,1,0,1,0,0
0,0,1,1,0,0,1,0,0
0,1,0,0,1,1,0,0,0
0,1,1,0,0,1,0,1,1
1,0,0,1,1,0,1,0,0
1,0,1,1,0,0,1,0,0
1,1,0,0,1,0,1,0,0
1,1,1,0,0,0,1,0,0
