part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
L1_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,L1,4,0.0;0.0;0.0,-10,90
L2_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,L2,4,0.0;0.0;0.0,-10,90
P_BA,Promoter,,,,,0.0;0.0;0.0,,,,,,P_BA,4,0.0;0.0;0.0,-18,90
P_IPTG,Promoter,,,,,0.0;0.0;0.0,,,,,,P_IPTG,4,0.0;0.0;0.0,-22,90
P_aTc,Promoter,,,,,0.0;0.0;0.0,,,,,,P_aTc,4,0.0;0.0;0.0,-20,90
M1,CDS,,,,,0.23;0.66;0.88,,,,,,M1,4,0.23;0.66;0.88,-14,90
L3S3P41,Terminator,,,,,0.23;0.66;0.88,,,,,,L3S3P41,4,0.23;0.66;0.88,-24,90
PM1,Promoter,,,,,0.23;0.66;0.88,,,,,,PM1,4,0.23;0.66;0.88,-16,90
M3,CDS,,,,,0.56;0.78;0.24,,,,,,M3,4,0.56;0.78;0.24,-14,90
ECK120034435,Terminator,,,,,0.56;0.78;0.24,,,,,,ECK120034435,4,0.56;0.78;0.24,-34,90
PM3,Promoter,,,,,0.56;0.78;0.24,,,,,,PM3,4,0.56;0.78;0.24,-16,90
M5,CDS,,,,,0.33;0.33;0.64,,,,,,M5,4,0.33;0.33;0.64,-14,90
ECK125109870,Terminator,,,,,0.33;0.33;0.64,,,,,,ECK125109870,4,0.33;0.33;0.64,-34,90
PM5,Promoter,,,,,0.33;0.33;0.64,,,,,,PM5,4,0.33;0.33;0.64,-16,90
M6,CDS,,,,,0.44;0.8;0.88,,,,,,M6,4,0.44;0.8;0.88,-14,90
L3S3P31,Terminator,,,,,0.44;0.8;0.88,,,,,,L3S3P31,4,0.44;0.8;0.88,-24,90
PM6,Promoter,,,,,0.44;0.8;0.88,,,,,,PM6,4,0.44;0.8;0.88,-16,90
M7,CDS,,,,,0.56;0.78;0.24,,,,,,M7,4,0.56;0.78;0.24,-14,90
pheA_1,Terminator,,,,,0.56;0.78;0.24,,,,,,pheA_1,4,0.56;0.78;0.24,-22,90
PM7,Promoter,,,,,0.56;0.78;0.24,,,,,,PM7,4,0.56;0.78;0.24,-16,90
F_scar,Scar,,,,,0.0;0.0;0.0,,,,,,F_scar,4,0.0;0.0;0.0,-22,90
E_scar,Scar,,,,,0.0;0.0;0.0,,,,,,E_scar,4,0.0;0.0;0.0,-22,90
D_scar,Scar,,,,,0.0;0.0;0.0,,,,,,D_scar,4,0.0;0.0;0.0,-22,90
C_scar,Scar,,,,,0.0;0.0;0.0,,,,,,C_scar,4,0.0;0.0;0.0,-22,90
B_scar,Scar,,,,,0.0;0.0;0.0,,,,,,B_scar,4,0.0;0.0;0.0,-22,90
A_scar,Scar,,,,,0.0;0.0;0.0,,,,,,A_scar,4,0.0;0.0;0.0,-22,90
Y_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Y_scar,4,0.0;0.0;0.0,-22,90
X_scar,Scar,,,,,0.0;0.0;0.0,,,,,,X_scar,4,0.0;0.0;0.0,-22,90
V_scar,Scar,,,,,0.0;0.0;0.0,,,,,,V_scar,4,0.0;0.0;0.0,-22,90
U_scar,Scar,,,,,0.0;0.0;0.0,,,,,,U_scar,4,0.0;0.0;0.0,-22,90
R_scar,Scar,,,,,0.0;0.0;0.0,,,,,,R_scar,4,0.0;0.0;0.0,-22,90
Q_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Q_scar,4,0.0;0.0;0.0,-22,90
P_scar,Scar,,,,,0.0;0.0;0.0,,,,,,P_scar,4,0.0;0.0;0.0,-22,90
O_scar,Scar,,,,,0.0;0.0;0.0,,,,,,O_scar,4,0.0;0.0;0.0,-22,90
G_scar,Scar,,,,,0.0;0.0;0.0,,,,,,G_scar,4,0.0;0.0;0.0,-22,90
nanoluc_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,,nanoluc_ca...,4,0.00;0.00;0.00,-36,90
