Scores...
IPTG_sensor,aTc_sensor,BA_sensor,M7,M1,M3,M4,M5,M2,M6,nanoluc_reporter_2,nanoluc_reporter
2.73e-02,2.86e-02,1.35e-02,1.51e-01,6.49e-01,3.20e-01,9.35e-03,3.22e-01,1.86e-02,1.72e-02,1.86e-02,1.72e-02
2.73e-02,2.86e-02,1.48e+00,2.08e-02,6.49e-01,3.20e-01,9.35e-03,3.22e-01,3.59e-03,2.35e-02,3.59e-03,2.35e-02
2.73e-02,6.45e+00,1.35e-02,1.51e-01,6.49e-01,3.21e-03,1.37e-02,3.12e-01,1.91e-02,1.75e-02,1.91e-02,1.75e-02
2.73e-02,6.45e+00,1.48e+00,2.08e-02,6.49e-01,3.21e-03,1.37e-02,3.12e-01,3.60e-03,2.42e-02,3.60e-03,2.42e-02
4.30e+00,2.86e-02,1.35e-02,1.51e-01,1.48e-02,3.20e-01,2.59e-02,2.85e-01,2.07e-02,1.86e-02,2.07e-02,1.86e-02
4.30e+00,2.86e-02,1.48e+00,2.08e-02,1.48e-02,3.20e-01,2.59e-02,2.85e-01,3.65e-03,2.61e-02,3.65e-03,2.61e-02
4.30e+00,6.45e+00,1.35e-02,1.51e-01,1.48e-02,3.21e-03,1.28e-01,1.43e-01,3.54e-02,2.72e-02,3.54e-02,2.72e-02
4.30e+00,6.45e+00,1.48e+00,2.08e-02,1.48e-02,3.21e-03,1.28e-01,1.43e-01,3.94e-03,4.48e-02,3.94e-03,4.48e-02
""
Binary...
IPTG_sensor_I/O,aTc_sensor_I/O,BA_sensor_I/O,M7_I/O,M1_I/O,M3_I/O,M4_I/O,M5_I/O,M2_I/O,M6_I/O,nanoluc_reporter_2_I/O,nanoluc_reporter_I/O
0,0,0,1,1,1,0,1,0,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0
0,1,1,0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,0
1,0,1,0,0,1,0,1,0,0,0,0
1,1,0,1,0,0,1,0,1,0,1,0
1,1,1,0,0,0,1,0,0,1,0,1
