Scores...
TetR_sensor,AraC_sensor,LacI_sensor,PsrA,QacR,IcaRA,AmtR,SrpR,PhlF,YFP_reporter_2
1.30e-03,8.20e-03,3.40e-03,5.90e+00,2.80e+00,2.18e+00,6.17e-02,1.67e+00,2.00e-02,1.52e-04
1.30e-03,8.20e-03,2.80e+00,5.90e+00,2.80e+00,9.98e-02,6.17e-02,1.67e+00,2.13e-02,1.62e-04
1.30e-03,2.50e+00,3.40e-03,5.90e+00,3.72e-02,2.18e+00,6.31e-02,1.65e+00,2.01e-02,1.52e-04
1.30e-03,2.50e+00,2.80e+00,5.90e+00,3.72e-02,9.98e-02,6.31e-02,1.65e+00,2.14e-02,1.62e-04
4.40e+00,8.20e-03,3.40e-03,2.20e-01,2.80e+00,2.18e+00,6.90e-02,1.55e+00,2.01e-02,1.52e-04
4.40e+00,8.20e-03,2.80e+00,2.20e-01,2.80e+00,9.98e-02,6.90e-02,1.55e+00,2.17e-02,1.65e-04
4.40e+00,2.50e+00,3.40e-03,2.20e-01,3.72e-02,2.18e+00,4.75e-01,3.34e-02,2.05e-02,1.56e-04
4.40e+00,2.50e+00,2.80e+00,2.20e-01,3.72e-02,9.98e-02,4.75e-01,3.34e-02,6.18e+00,4.70e-02
""
Binary...
TetR_sensor_I/O,AraC_sensor_I/O,LacI_sensor_I/O,PsrA_I/O,QacR_I/O,IcaRA_I/O,AmtR_I/O,SrpR_I/O,PhlF_I/O,YFP_reporter_2_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
