Scores...
aTc_sensor,BA_sensor,IPTG_sensor,M7,M4,M3,M5,M2,nanoluc_reporter,nanoluc_reporter_2
2.86e-02,1.35e-02,2.73e-02,1.45e-01,1.34e-01,3.22e-01,7.33e-02,1.58e-02,1.58e-02,7.33e-02
2.86e-02,1.35e-02,4.30e+00,1.45e-01,1.34e-01,4.74e-03,7.33e-02,5.38e-02,5.38e-02,7.33e-02
2.86e-02,1.48e+00,2.73e-02,1.45e-01,6.25e-03,3.22e-01,1.26e-01,1.40e-02,1.40e-02,1.26e-01
2.86e-02,1.48e+00,4.30e+00,1.45e-01,6.25e-03,4.74e-03,1.26e-01,4.02e-02,4.02e-02,1.26e-01
6.45e+00,1.35e-02,2.73e-02,5.00e-03,1.34e-01,3.22e-01,1.35e-01,1.38e-02,1.38e-02,1.35e-01
6.45e+00,1.35e-02,4.30e+00,5.00e-03,1.34e-01,4.74e-03,1.35e-01,3.84e-02,3.84e-02,1.35e-01
6.45e+00,1.48e+00,2.73e-02,5.00e-03,6.25e-03,3.22e-01,3.18e-01,9.80e-03,9.80e-03,3.18e-01
6.45e+00,1.48e+00,4.30e+00,5.00e-03,6.25e-03,4.74e-03,3.18e-01,1.93e-02,1.93e-02,3.18e-01
""
Binary...
aTc_sensor_I/O,BA_sensor_I/O,IPTG_sensor_I/O,M7_I/O,M4_I/O,M3_I/O,M5_I/O,M2_I/O,nanoluc_reporter_I/O,nanoluc_reporter_2_I/O
0,0,0,1,1,1,0,0,0,0
0,0,1,1,1,0,0,1,1,0
0,1,0,1,0,1,0,0,0,0
0,1,1,1,0,0,0,1,1,0
1,0,0,0,1,1,0,0,0,0
1,0,1,0,1,0,0,1,1,0
1,1,0,0,0,1,1,0,0,1
1,1,1,0,0,0,1,0,0,1
