Scores...
OHC14_sensor,Ara_sensor,aTc_sensor,BetI,AmtR,PhlF,BM3R1,AmeRs,QacR,YFP_reporter_2
1.00e-02,4.00e-02,2.00e-02,2.25e+00,1.88e+00,5.08e+00,7.46e-03,3.67e+00,3.83e-02,7.28e-04
1.00e-02,4.00e-02,5.41e+00,2.25e+00,1.88e+00,9.12e-03,7.46e-03,3.67e+00,5.21e-02,9.89e-04
1.00e-02,3.33e+00,2.00e-02,2.25e+00,3.56e-02,5.08e+00,1.19e-02,3.64e+00,3.83e-02,7.28e-04
1.00e-02,3.33e+00,5.41e+00,2.25e+00,3.56e-02,9.12e-03,1.19e-02,3.64e+00,5.26e-02,9.99e-04
4.38e+00,4.00e-02,2.00e-02,2.71e-01,1.88e+00,5.08e+00,1.29e-02,3.63e+00,3.83e-02,7.28e-04
4.38e+00,4.00e-02,5.41e+00,2.71e-01,1.88e+00,9.12e-03,1.29e-02,3.63e+00,5.28e-02,1.00e-03
4.38e+00,3.33e+00,2.00e-02,2.71e-01,3.56e-02,5.08e+00,4.37e-01,4.15e-01,4.05e-02,7.69e-04
4.38e+00,3.33e+00,5.41e+00,2.71e-01,3.56e-02,9.12e-03,4.37e-01,4.15e-01,4.40e+00,8.35e-02
""
Binary...
OHC14_sensor_I/O,Ara_sensor_I/O,aTc_sensor_I/O,BetI_I/O,AmtR_I/O,PhlF_I/O,BM3R1_I/O,AmeRs_I/O,QacR_I/O,YFP_reporter_2_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
