Scores...
aTc_sensor,BA_sensor,IPTG_sensor,M7,M1,M6,M3,M5,M4,nanoluc_reporter,nanoluc_reporter_2
2.86e-02,1.35e-02,2.73e-02,1.45e-01,6.49e-01,4.59e-02,2.97e-01,6.91e-02,1.25e-02,4.59e-02,1.25e-02
2.86e-02,1.35e-02,4.30e+00,1.45e-01,1.48e-02,4.59e-02,2.97e-01,6.91e-02,7.47e-02,4.59e-02,7.47e-02
2.86e-02,1.48e+00,2.73e-02,1.45e-01,6.49e-01,5.04e-03,1.53e-02,3.09e-01,9.45e-03,5.04e-03,9.45e-03
2.86e-02,1.48e+00,4.30e+00,1.45e-01,1.48e-02,5.04e-03,1.53e-02,3.09e-01,2.67e-02,5.04e-03,2.67e-02
6.45e+00,1.35e-02,2.73e-02,5.00e-03,6.49e-01,1.14e-01,3.20e-03,3.34e-01,9.22e-03,1.14e-01,9.22e-03
6.45e+00,1.35e-02,4.30e+00,5.00e-03,1.48e-02,1.14e-01,3.20e-03,3.34e-01,2.49e-02,1.14e-01,2.49e-02
6.45e+00,1.48e+00,2.73e-02,5.00e-03,6.49e-01,5.49e-03,2.69e-03,3.35e-01,9.21e-03,5.49e-03,9.21e-03
6.45e+00,1.48e+00,4.30e+00,5.00e-03,1.48e-02,5.49e-03,2.69e-03,3.35e-01,2.49e-02,5.49e-03,2.49e-02
""
Binary...
aTc_sensor_I/O,BA_sensor_I/O,IPTG_sensor_I/O,M7_I/O,M1_I/O,M6_I/O,M3_I/O,M5_I/O,M4_I/O,nanoluc_reporter_I/O,nanoluc_reporter_2_I/O
0,0,0,1,1,0,1,0,0,0,0
0,0,1,1,0,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,0,0
0,1,1,1,0,0,0,1,0,0,0
1,0,0,0,1,1,0,1,0,1,0
1,0,1,0,0,1,0,1,0,1,0
1,1,0,0,1,0,0,1,0,0,0
1,1,1,0,0,0,0,1,0,0,0
