Scores...
LacI_sensor,TetR_sensor,AraC_sensor,AmtR,BetI,QacR,IcaRA,SrpR,PhlF,YFP_reporter_3
3.40e-03,1.30e-03,8.20e-03,3.77e+00,3.80e+00,2.80e+00,8.49e-02,1.29e+00,2.00e-02,1.52e-04
3.40e-03,1.30e-03,2.50e+00,3.77e+00,3.80e+00,3.72e-02,8.49e-02,1.29e+00,2.43e-02,1.85e-04
3.40e-03,4.40e+00,8.20e-03,3.77e+00,8.25e-02,2.80e+00,9.27e-02,1.16e+00,2.00e-02,1.52e-04
3.40e-03,4.40e+00,2.50e+00,3.77e+00,8.25e-02,3.72e-02,9.27e-02,1.16e+00,2.65e-02,2.02e-04
2.80e+00,1.30e-03,8.20e-03,7.02e-02,3.80e+00,2.80e+00,9.26e-02,1.17e+00,2.00e-02,1.52e-04
2.80e+00,1.30e-03,2.50e+00,7.02e-02,3.80e+00,3.72e-02,9.26e-02,1.17e+00,2.65e-02,2.01e-04
2.80e+00,4.40e+00,8.20e-03,7.02e-02,8.25e-02,2.80e+00,8.35e-01,1.25e-02,2.02e-02,1.53e-04
2.80e+00,4.40e+00,2.50e+00,7.02e-02,8.25e-02,3.72e-02,8.35e-01,1.25e-02,6.79e+00,5.16e-02
""
Binary...
LacI_sensor_I/O,TetR_sensor_I/O,AraC_sensor_I/O,AmtR_I/O,BetI_I/O,QacR_I/O,IcaRA_I/O,SrpR_I/O,PhlF_I/O,YFP_reporter_3_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
