Scores...
Sal_sensor,Cuma_sensor,DAPG_in,P2,P2hd,933W,TP901,Wphi,P22,Lambda,pC-HSL_out,OHC12_out
1.38e-02,3.60e-03,2.00e-02,1.90e+00,1.48e+00,2.84e-02,1.82e+00,2.57e-02,2.23e+00,6.75e-02,4.00e-04,1.90e-04
1.38e-02,3.60e-03,3.40e+00,1.90e+00,1.48e+00,2.84e-02,1.82e+00,1.92e-02,1.35e-01,3.12e+00,3.91e-04,3.62e-02
1.38e-02,3.14e+00,2.00e-02,1.90e+00,1.54e-02,3.20e-02,1.67e+00,2.71e-02,2.21e+00,6.79e-02,4.02e-04,1.90e-04
1.38e-02,3.14e+00,3.40e+00,1.90e+00,1.54e-02,3.20e-02,1.67e+00,1.92e-02,1.35e-01,3.13e+00,3.91e-04,3.62e-02
3.17e+00,3.60e-03,2.00e-02,4.38e-02,1.48e+00,3.50e-02,1.56e+00,2.84e-02,2.19e+00,6.83e-02,4.04e-04,1.90e-04
3.17e+00,3.60e-03,3.40e+00,4.38e-02,1.48e+00,3.50e-02,1.56e+00,1.93e-02,1.35e-01,3.13e+00,3.91e-04,3.62e-02
3.17e+00,3.14e+00,2.00e-02,4.38e-02,1.54e-02,2.42e+00,3.56e-02,2.07e+00,1.57e-01,2.73e+00,6.02e-02,2.77e-02
3.17e+00,3.14e+00,3.40e+00,4.38e-02,1.54e-02,2.42e+00,3.56e-02,2.04e-02,1.18e-01,3.48e+00,3.92e-04,4.26e-02
""
Binary...
Sal_sensor_I/O,Cuma_sensor_I/O,DAPG_in_I/O,P2_I/O,P2hd_I/O,933W_I/O,TP901_I/O,Wphi_I/O,P22_I/O,Lambda_I/O,pC-HSL_out_I/O,OHC12_out_I/O
0,0,0,1,1,0,1,0,1,0,0,0
0,0,1,1,1,0,1,0,0,1,0,1
0,1,0,1,0,0,1,0,1,0,0,0
0,1,1,1,0,0,1,0,0,1,0,1
1,0,0,0,1,0,1,0,1,0,0,0
1,0,1,0,1,0,1,0,0,1,0,1
1,1,0,0,0,1,0,1,0,1,1,1
1,1,1,0,0,1,0,0,0,1,0,1
