Scores...
IPTG_sensor,OHC12_in,Sal_sensor,P2hd,R1t,P22,P2,933W,Wphi,Lambda,DAPG_out,pC-HSL_out
3.02e-02,1.00e-02,1.38e-02,1.43e+00,2.65e+00,2.42e+00,3.50e-02,3.16e+00,2.07e-02,5.07e-02,3.80e-04,4.56e-04
3.02e-02,1.00e-02,3.17e+00,1.53e-02,2.65e+00,2.42e+00,3.50e-02,3.16e+00,1.89e-02,5.62e-02,3.80e-04,4.73e-04
3.02e-02,3.40e+00,1.38e-02,1.43e+00,2.65e+00,1.36e-01,4.88e-02,2.74e+00,2.15e-02,5.18e-02,3.80e-04,4.59e-04
3.02e-02,3.40e+00,3.17e+00,1.53e-02,2.65e+00,1.36e-01,4.88e-02,2.74e+00,1.90e-02,5.99e-02,3.80e-04,4.86e-04
4.09e+00,1.00e-02,1.38e-02,1.43e+00,6.01e-02,2.42e+00,5.50e-02,2.55e+00,2.21e-02,5.24e-02,3.80e-04,4.61e-04
4.09e+00,1.00e-02,3.17e+00,1.53e-02,6.01e-02,2.42e+00,5.50e-02,2.55e+00,1.90e-02,6.21e-02,3.80e-04,4.94e-04
4.09e+00,3.40e+00,1.38e-02,1.43e+00,6.01e-02,1.36e-01,1.74e+00,3.31e-02,2.21e+00,9.81e-02,5.40e-02,6.64e-04
4.09e+00,3.40e+00,3.17e+00,1.53e-02,6.01e-02,1.36e-01,1.74e+00,3.31e-02,2.07e-02,4.84e+00,3.80e-04,9.80e-02
""
Binary...
IPTG_sensor_I/O,OHC12_in_I/O,Sal_sensor_I/O,P2hd_I/O,R1t_I/O,P22_I/O,P2_I/O,933W_I/O,Wphi_I/O,Lambda_I/O,DAPG_out_I/O,pC-HSL_out_I/O
0,0,0,1,1,1,0,1,0,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0
0,1,1,0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,0
1,0,1,0,0,1,0,1,0,0,0,0
1,1,0,1,0,0,1,0,1,0,1,0
1,1,1,0,0,0,1,0,0,1,0,1
