Scores...
Van_sensor,IPTG_sensor,Ara_sensor,AmtR,BetI,AmeRs,BM3R1,PhlF,QacR,YFP_reporter
2.00e-02,2.00e-02,4.00e-02,2.01e+00,2.25e+00,3.26e+00,7.37e-03,5.12e+00,3.84e-02,7.29e-04
2.00e-02,2.00e-02,3.33e+00,2.01e+00,2.25e+00,4.41e-02,7.37e-03,5.12e+00,4.12e-02,7.84e-04
2.00e-02,4.20e+00,4.00e-02,2.01e+00,2.74e-01,3.26e+00,1.19e-02,5.11e+00,3.84e-02,7.29e-04
2.00e-02,4.20e+00,3.33e+00,2.01e+00,2.74e-01,4.41e-02,1.19e-02,5.11e+00,4.13e-02,7.84e-04
3.79e+00,2.00e-02,4.00e-02,3.36e-02,2.25e+00,3.26e+00,1.19e-02,5.11e+00,3.84e-02,7.29e-04
3.79e+00,2.00e-02,3.33e+00,3.36e-02,2.25e+00,4.41e-02,1.19e-02,5.11e+00,4.13e-02,7.84e-04
3.79e+00,4.20e+00,4.00e-02,3.36e-02,2.74e-01,3.26e+00,4.36e-01,3.77e-01,5.27e-02,1.00e-03
3.79e+00,4.20e+00,3.33e+00,3.36e-02,2.74e-01,4.41e-02,4.36e-01,3.77e-01,4.40e+00,8.36e-02
""
Binary...
Van_sensor_I/O,IPTG_sensor_I/O,Ara_sensor_I/O,AmtR_I/O,BetI_I/O,AmeRs_I/O,BM3R1_I/O,PhlF_I/O,QacR_I/O,YFP_reporter_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
