part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
L1_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,L1,4,0.0;0.0;0.0,-10,90
L2_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,L2,4,0.0;0.0;0.0,-10,90
L3_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,L3,4,0.0;0.0;0.0,-10,90
PBadmc,Promoter,,,,,0.0;0.0;0.0,,,,,,PBadmc,4,0.0;0.0;0.0,-22,90
PTac,Promoter,,,,,0.0;0.0;0.0,,,,,,PTac,4,0.0;0.0;0.0,-18,90
PVanCC,Promoter,,,,,0.0;0.0;0.0,,,,,,PVanCC,4,0.0;0.0;0.0,-22,90
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,,RiboJ53,4,0.98;0.64;0.15,-24,90
P1,RBS,,,,,0.98;0.64;0.15,,,,,,P1,4,0.98;0.64;0.15,-14,90
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,,PhlF,4,0.98;0.64;0.15,-18,90
DT5,Terminator,,,,,0.98;0.64;0.15,,,,,,DT5,4,0.98;0.64;0.15,-16,90
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,,pPhlF,4,0.98;0.64;0.15,-20,90
RiboJ60,Ribozyme,,,,,0.4;0.74;0.27,,,,,,RiboJ60,4,0.4;0.74;0.27,-24,90
Q1,RBS,,,,,0.4;0.74;0.27,,,,,,Q1,4,0.4;0.74;0.27,-14,90
QacR,CDS,,,,,0.4;0.74;0.27,,,,,,QacR,4,0.4;0.74;0.27,-18,90
R1,Terminator,,,,,0.4;0.74;0.27,,,,,,R1,4,0.4;0.74;0.27,-14,90
pQacR,Promoter,,,,,0.4;0.74;0.27,,,,,,pQacR,4,0.4;0.74;0.27,-20,90
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,,BydvJ,4,0.23;0.66;0.88,-20,90
A1,RBS,,,,,0.23;0.66;0.88,,,,,,A1,4,0.23;0.66;0.88,-14,90
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,,AmtR,4,0.23;0.66;0.88,-18,90
DT65,Terminator,,,,,0.23;0.66;0.88,,,,,,DT65,4,0.23;0.66;0.88,-18,90
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,,pAmtR,4,0.23;0.66;0.88,-20,90
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,,SarJ,4,0.93;0.18;0.17,-18,90
B3,RBS,,,,,0.93;0.18;0.17,,,,,,B3,4,0.93;0.18;0.17,-14,90
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,,BM3R1,4,0.93;0.18;0.17,-20,90
DT83,Terminator,,,,,0.93;0.18;0.17,,,,,,DT83,4,0.93;0.18;0.17,-18,90
pBM3R1,Promoter,,,,,0.93;0.18;0.17,,,,,,pBM3R1,4,0.93;0.18;0.17,-22,90
