Scores...
AraC_sensor,TetR_sensor,LacI_sensor,AmeR,HlyIIR,PhlF,SrpR,LitR,BM3R1,YFP_reporter_3,YFP_reporter,YFP_reporter_2
8.20e-03,1.30e-03,3.40e-03,3.76e+00,2.50e+00,2.01e-02,2.08e+00,4.23e+00,1.00e-02,7.61e-05,1.52e-04,1.58e-02
8.20e-03,1.30e-03,2.80e+00,2.29e-01,2.50e+00,3.40e+00,7.11e-03,7.45e-02,1.03e-02,7.85e-05,2.58e-02,5.40e-05
8.20e-03,4.40e+00,3.40e-03,3.76e+00,2.50e+00,2.00e-02,2.08e+00,7.21e-02,1.03e-02,7.85e-05,1.52e-04,1.58e-02
8.20e-03,4.40e+00,2.80e+00,2.29e-01,2.50e+00,2.00e-02,2.08e+00,7.09e-02,1.03e-02,7.85e-05,1.52e-04,1.58e-02
2.50e+00,1.30e-03,3.40e-03,3.76e+00,7.30e-02,2.01e-02,2.08e+00,4.23e+00,1.01e-02,7.64e-05,1.52e-04,1.58e-02
2.50e+00,1.30e-03,2.80e+00,2.29e-01,7.30e-02,3.40e+00,7.11e-03,7.45e-02,7.00e-01,5.32e-03,2.58e-02,5.40e-05
2.50e+00,4.40e+00,3.40e-03,3.76e+00,7.30e-02,2.00e-02,2.08e+00,7.21e-02,7.04e-01,5.35e-03,1.52e-04,1.58e-02
2.50e+00,4.40e+00,2.80e+00,2.29e-01,7.30e-02,2.00e-02,2.08e+00,7.09e-02,7.07e-01,5.37e-03,1.52e-04,1.58e-02
""
Binary...
AraC_sensor_I/O,TetR_sensor_I/O,LacI_sensor_I/O,AmeR_I/O,HlyIIR_I/O,PhlF_I/O,SrpR_I/O,LitR_I/O,BM3R1_I/O,YFP_reporter_3_I/O,YFP_reporter_I/O,YFP_reporter_2_I/O
0,0,0,1,1,0,1,1,0,0,0,1
0,0,1,0,1,1,0,0,0,0,1,0
0,1,0,1,1,0,1,0,0,0,0,1
0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,1,1,1,0
1,1,0,1,0,0,1,0,1,1,0,1
1,1,1,0,0,0,1,0,1,1,0,1
