Scores...
aTc_sensor,Van_sensor,Ara_sensor,AmtR,BetI,BM3R1,AmeRs,QacR,PhlF,YFP_reporter,YFP_reporter_2
2.00e-02,2.00e-02,4.00e-02,2.01e+00,2.25e+00,6.47e-01,2.91e+00,4.54e-02,1.21e-02,1.23e-02,2.29e-04
2.00e-02,2.00e-02,3.33e+00,2.01e+00,3.01e-01,6.47e-01,4.40e-02,1.40e-01,1.98e+00,1.23e-02,3.75e-02
2.00e-02,3.79e+00,4.00e-02,3.36e-02,2.25e+00,6.47e-01,4.14e-02,1.46e-01,1.92e+00,1.23e-02,3.66e-02
2.00e-02,3.79e+00,3.33e+00,3.36e-02,3.01e-01,6.47e-01,3.50e-02,4.47e+00,9.62e-03,1.23e-02,1.83e-04
5.41e+00,2.00e-02,4.00e-02,2.01e+00,2.25e+00,6.87e-03,2.91e+00,4.54e-02,1.21e-02,1.31e-04,2.29e-04
5.41e+00,2.00e-02,3.33e+00,2.01e+00,3.01e-01,6.87e-03,4.40e-02,1.40e-01,1.98e+00,1.31e-04,3.75e-02
5.41e+00,3.79e+00,4.00e-02,3.36e-02,2.25e+00,6.87e-03,4.14e-02,1.46e-01,1.92e+00,1.31e-04,3.66e-02
5.41e+00,3.79e+00,3.33e+00,3.36e-02,3.01e-01,6.87e-03,3.50e-02,4.47e+00,9.62e-03,1.31e-04,1.83e-04
""
Binary...
aTc_sensor_I/O,Van_sensor_I/O,Ara_sensor_I/O,AmtR_I/O,BetI_I/O,BM3R1_I/O,AmeRs_I/O,QacR_I/O,PhlF_I/O,YFP_reporter_I/O,YFP_reporter_2_I/O
0,0,0,1,1,1,1,0,0,1,0
0,0,1,1,0,1,0,0,1,1,1
0,1,0,0,1,1,0,0,1,1,1
0,1,1,0,0,1,0,1,0,1,0
1,0,0,1,1,0,1,0,0,0,0
1,0,1,1,0,0,0,0,1,0,1
1,1,0,0,1,0,0,0,1,0,1
1,1,1,0,0,0,0,1,0,0,0
