Scores...
Cuma_sensor,pC-HSL_in,OHC14_sensor,R1t,TP901,P22,P2,933W,Wphi,Lambda,pC-HSL_out,DAPG_out
3.60e-03,2.00e-02,5.70e-03,3.49e+00,3.16e+00,2.38e+00,3.42e-02,3.19e+00,2.07e-02,4.81e-02,3.93e-04,3.80e-04
3.60e-03,2.00e-02,3.13e+00,6.10e-02,3.16e+00,2.38e+00,3.42e-02,3.19e+00,1.89e-02,5.58e-02,3.91e-04,3.80e-04
3.60e-03,6.00e+00,5.70e-03,3.49e+00,3.16e+00,1.17e-01,4.27e-02,2.93e+00,2.11e-02,4.83e-02,3.93e-04,3.80e-04
3.60e-03,6.00e+00,3.13e+00,6.10e-02,3.16e+00,1.17e-01,4.27e-02,2.93e+00,1.89e-02,5.77e-02,3.91e-04,3.80e-04
3.14e+00,2.00e-02,5.70e-03,3.49e+00,3.41e-02,2.38e+00,5.66e-02,2.50e+00,2.22e-02,4.86e-02,3.95e-04,3.80e-04
3.14e+00,2.00e-02,3.13e+00,6.10e-02,3.41e-02,2.38e+00,5.66e-02,2.50e+00,1.90e-02,6.22e-02,3.91e-04,3.80e-04
3.14e+00,6.00e+00,5.70e-03,3.49e+00,3.41e-02,1.17e-01,1.82e+00,3.26e-02,2.34e+00,5.43e-02,6.70e-02,3.80e-04
3.14e+00,6.00e+00,3.13e+00,6.10e-02,3.41e-02,1.17e-01,1.82e+00,3.26e-02,2.07e-02,3.98e+00,3.93e-04,6.34e-02
""
Binary...
Cuma_sensor_I/O,pC-HSL_in_I/O,OHC14_sensor_I/O,R1t_I/O,TP901_I/O,P22_I/O,P2_I/O,933W_I/O,Wphi_I/O,Lambda_I/O,pC-HSL_out_I/O,DAPG_out_I/O
0,0,0,1,1,1,0,1,0,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0
0,1,1,0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,0
1,0,1,0,0,1,0,1,0,0,0,0
1,1,0,1,0,0,1,0,1,0,1,0
1,1,1,0,0,0,1,0,0,1,0,1
