Scores...
AraC_sensor,TetR_sensor,LacI_sensor,QacR,BM3R1,SrpR,AmeR,PhlF,IcaRA,PsrA,AmtR,YFP_reporter
8.20e-03,1.30e-03,3.40e-03,1.28e+00,1.05e-02,8.61e-03,3.76e+00,6.80e+00,2.20e+00,2.26e-01,6.25e-02,6.55e-05
8.20e-03,1.30e-03,2.80e+00,3.73e-02,1.05e-02,1.86e+00,2.29e-01,6.80e+00,2.20e+00,2.49e+00,6.14e-02,1.42e-02
8.20e-03,4.40e+00,3.40e-03,3.17e-02,6.88e-01,1.53e-02,3.76e+00,6.80e+00,9.06e-02,2.26e-01,6.25e-02,1.16e-04
8.20e-03,4.40e+00,2.80e+00,3.06e-02,6.90e-01,1.53e-02,2.29e-01,6.80e+00,9.06e-02,2.49e+00,6.14e-02,1.16e-04
2.50e+00,1.30e-03,3.40e-03,1.40e+00,1.00e-02,8.27e-03,3.76e+00,2.03e-02,2.20e+00,2.11e-01,3.24e+00,6.28e-05
2.50e+00,1.30e-03,2.80e+00,1.14e+00,1.05e-02,9.23e-03,2.29e-01,2.03e-02,2.20e+00,2.47e-01,7.01e-02,7.01e-05
2.50e+00,4.40e+00,3.40e-03,3.17e-02,1.01e-02,1.93e+00,3.76e+00,2.03e-02,9.06e-02,2.11e-01,3.24e+00,1.47e-02
2.50e+00,4.40e+00,2.80e+00,3.16e-02,6.71e-01,1.59e-02,2.29e-01,2.03e-02,9.06e-02,2.47e-01,7.01e-02,1.21e-04
""
Binary...
AraC_sensor_I/O,TetR_sensor_I/O,LacI_sensor_I/O,QacR_I/O,BM3R1_I/O,SrpR_I/O,AmeR_I/O,PhlF_I/O,IcaRA_I/O,PsrA_I/O,AmtR_I/O,YFP_reporter_I/O
0,0,0,1,0,0,1,1,1,0,0,0
0,0,1,0,0,1,0,1,1,1,0,1
0,1,0,0,1,0,1,1,0,0,0,0
0,1,1,0,1,0,0,1,0,1,0,0
1,0,0,1,0,0,1,0,1,0,1,0
1,0,1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,1,1,0,0,0,1,1
1,1,1,0,1,0,0,0,0,0,0,0
