part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
Loc1_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,Loc1,4,0.0;0.0;0.0,-10,90
Loc2_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,Loc2,4,0.0;0.0;0.0,-10,90
Loc3_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,Loc3,4,0.0;0.0;0.0,-10,90
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,,pTac,4,0.0;0.0;0.0,-18,90
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,,pTet,4,0.0;0.0;0.0,-18,90
pBAD,Promoter,,,,,0.0;0.0;0.0,,,,,,pBAD,4,0.0;0.0;0.0,-18,90
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,,BydvJ,4,0.23;0.66;0.88,-20,90
A1,RBS,,,,,0.23;0.66;0.88,,,,,,A1,4,0.23;0.66;0.88,-14,90
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,,AmtR,4,0.23;0.66;0.88,-18,90
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,,L3S2P55,4,0.23;0.66;0.88,-24,90
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,,pAmtR,4,0.23;0.66;0.88,-20,90
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,,SarJ,4,0.93;0.18;0.17,-18,90
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,,BM3R1,4,0.93;0.18;0.17,-20,90
L3S2P11,Terminator,,,,,0.93;0.18;0.17,,,,,,L3S2P11,4,0.93;0.18;0.17,-24,90
pBM3R1,Promoter,,,,,0.93;0.18;0.17,,,,,,pBM3R1,4,0.93;0.18;0.17,-22,90
B3,RBS,,,,,0.93;0.18;0.17,,,,,,B3,4,0.93;0.18;0.17,-14,90
RiboJ54,Ribozyme,,,,,0.44;0.8;0.88,,,,,,RiboJ54,4,0.44;0.8;0.88,-24,90
F1,RBS,,,,,0.44;0.8;0.88,,,,,,F1,4,0.44;0.8;0.88,-14,90
AmeR,CDS,,,,,0.44;0.8;0.88,,,,,,AmeR,4,0.44;0.8;0.88,-18,90
L3S3P31,Terminator,,,,,0.44;0.8;0.88,,,,,,L3S3P31,4,0.44;0.8;0.88,-24,90
pAmeR,Promoter,,,,,0.44;0.8;0.88,,,,,,pAmeR,4,0.44;0.8;0.88,-20,90
ElvJ,Ribozyme,,,,,0.91;0.24;0.59,,,,,,ElvJ,4,0.91;0.24;0.59,-18,90
I1,RBS,,,,,0.91;0.24;0.59,,,,,,I1,4,0.91;0.24;0.59,-14,90
IcaRA,CDS,,,,,0.91;0.24;0.59,,,,,,IcaRA,4,0.91;0.24;0.59,-20,90
ECK120016170,Terminator,,,,,0.91;0.24;0.59,,,,,,ECK120016170,4,0.91;0.24;0.59,-34,90
pIcaRA,Promoter,,,,,0.91;0.24;0.59,,,,,,pIcaRA,4,0.91;0.24;0.59,-22,90
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,,RiboJ53,4,0.98;0.64;0.15,-24,90
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,,PhlF,4,0.98;0.64;0.15,-18,90
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,,ECK120033737,4,0.98;0.64;0.15,-34,90
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,,pPhlF,4,0.98;0.64;0.15,-20,90
P3,RBS,,,,,0.98;0.64;0.15,,,,,,P3,4,0.98;0.64;0.15,-14,90
RiboJ60,Ribozyme,,,,,0.4;0.74;0.27,,,,,,RiboJ60,4,0.4;0.74;0.27,-24,90
QacR,CDS,,,,,0.4;0.74;0.27,,,,,,QacR,4,0.4;0.74;0.27,-18,90
ECK120010818,Terminator,,,,,0.4;0.74;0.27,,,,,,ECK120010818,4,0.4;0.74;0.27,-34,90
pQacR,Promoter,,,,,0.4;0.74;0.27,,,,,,pQacR,4,0.4;0.74;0.27,-20,90
Q2,RBS,,,,,0.4;0.74;0.27,,,,,,Q2,4,0.4;0.74;0.27,-14,90
ScmJ,Ribozyme,,,,,0.76;0.29;0.61,,,,,,ScmJ,4,0.76;0.29;0.61,-18,90
R1,RBS,,,,,0.76;0.29;0.61,,,,,,R1,4,0.76;0.29;0.61,-14,90
PsrA,CDS,,,,,0.76;0.29;0.61,,,,,,PsrA,4,0.76;0.29;0.61,-18,90
ECK120015440,Terminator,,,,,0.76;0.29;0.61,,,,,,ECK120015440,4,0.76;0.29;0.61,-34,90
pPsrA,Promoter,,,,,0.76;0.29;0.61,,,,,,pPsrA,4,0.76;0.29;0.61,-20,90
RiboJ10,Ribozyme,,,,,0.0;0.41;0.22,,,,,,RiboJ10,4,0.0;0.41;0.22,-24,90
SrpR,CDS,,,,,0.0;0.41;0.22,,,,,,SrpR,4,0.0;0.41;0.22,-18,90
pSrpR,Promoter,,,,,0.0;0.41;0.22,,,,,,pSrpR,4,0.0;0.41;0.22,-20,90
ECK120029600,Terminator,,,,,0.0;0.41;0.22,,,,,,ECK120029600,4,0.0;0.41;0.22,-34,90
S4,RBS,,,,,0.0;0.41;0.22,,,,,,S4,4,0.0;0.41;0.22,-14,90
F_scar,Scar,,,,,0.0;0.0;0.0,,,,,,F_scar,4,0.0;0.0;0.0,-22,90
E_scar,Scar,,,,,0.0;0.0;0.0,,,,,,E_scar,4,0.0;0.0;0.0,-22,90
D_scar,Scar,,,,,0.0;0.0;0.0,,,,,,D_scar,4,0.0;0.0;0.0,-22,90
C_scar,Scar,,,,,0.0;0.0;0.0,,,,,,C_scar,4,0.0;0.0;0.0,-22,90
B_scar,Scar,,,,,0.0;0.0;0.0,,,,,,B_scar,4,0.0;0.0;0.0,-22,90
A_scar,Scar,,,,,0.0;0.0;0.0,,,,,,A_scar,4,0.0;0.0;0.0,-22,90
Y_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Y_scar,4,0.0;0.0;0.0,-22,90
X_scar,Scar,,,,,0.0;0.0;0.0,,,,,,X_scar,4,0.0;0.0;0.0,-22,90
V_scar,Scar,,,,,0.0;0.0;0.0,,,,,,V_scar,4,0.0;0.0;0.0,-22,90
U_scar,Scar,,,,,0.0;0.0;0.0,,,,,,U_scar,4,0.0;0.0;0.0,-22,90
R_scar,Scar,,,,,0.0;0.0;0.0,,,,,,R_scar,4,0.0;0.0;0.0,-22,90
Q_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Q_scar,4,0.0;0.0;0.0,-22,90
P_scar,Scar,,,,,0.0;0.0;0.0,,,,,,P_scar,4,0.0;0.0;0.0,-22,90
O_scar,Scar,,,,,0.0;0.0;0.0,,,,,,O_scar,4,0.0;0.0;0.0,-22,90
G_scar,Scar,,,,,0.0;0.0;0.0,,,,,,G_scar,4,0.0;0.0;0.0,-22,90
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,,YFP_cassette,4,0.00;0.00;0.00,-34,90
