Scores...
LacI_sensor,AraC_sensor,TetR_sensor,BetI,LitR,AmeR,BM3R1,SrpR,PhlF,YFP_reporter_3
3.40e-03,8.20e-03,1.30e-03,3.80e+00,4.11e+00,3.79e+00,1.00e-02,2.10e+00,2.00e-02,1.52e-04
3.40e-03,8.20e-03,4.40e+00,3.80e+00,4.11e+00,2.15e-01,1.00e-02,2.10e+00,2.04e-02,1.55e-04
3.40e-03,2.50e+00,1.30e-03,3.80e+00,7.55e-02,3.79e+00,1.01e-02,2.10e+00,2.00e-02,1.52e-04
3.40e-03,2.50e+00,4.40e+00,3.80e+00,7.55e-02,2.15e-01,1.01e-02,2.10e+00,2.04e-02,1.55e-04
2.80e+00,8.20e-03,1.30e-03,1.07e-01,4.11e+00,3.79e+00,1.01e-02,2.10e+00,2.00e-02,1.52e-04
2.80e+00,8.20e-03,4.40e+00,1.07e-01,4.11e+00,2.15e-01,1.01e-02,2.10e+00,2.04e-02,1.55e-04
2.80e+00,2.50e+00,1.30e-03,1.07e-01,7.55e-02,3.79e+00,6.18e-01,1.97e-02,2.01e-02,1.52e-04
2.80e+00,2.50e+00,4.40e+00,1.07e-01,7.55e-02,2.15e-01,6.18e-01,1.97e-02,3.25e+00,2.47e-02
""
Binary...
LacI_sensor_I/O,AraC_sensor_I/O,TetR_sensor_I/O,BetI_I/O,LitR_I/O,AmeR_I/O,BM3R1_I/O,SrpR_I/O,PhlF_I/O,YFP_reporter_3_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
