Scores...
IPTG_sensor,aTc_sensor,BA_sensor,M3,M4,M7,M5,M1,M2,M6,nanoluc_reporter_2,nanoluc_reporter
2.73e-02,2.86e-02,1.35e-02,3.45e-01,1.17e-01,1.45e-01,7.77e-02,5.34e-01,1.15e-02,9.19e-03,1.15e-02,9.19e-03
2.73e-02,2.86e-02,1.48e+00,1.57e-02,1.17e-01,1.45e-01,7.77e-02,5.34e-01,3.26e-03,1.48e-02,3.26e-03,1.48e-02
2.73e-02,6.45e+00,1.35e-02,3.45e-01,1.17e-01,5.00e-03,1.47e-01,4.11e-01,1.48e-02,1.07e-02,1.48e-02,1.07e-02
2.73e-02,6.45e+00,1.48e+00,1.57e-02,1.17e-01,5.00e-03,1.47e-01,4.11e-01,3.44e-03,1.90e-02,3.44e-03,1.90e-02
4.30e+00,2.86e-02,1.35e-02,3.45e-01,2.59e-03,1.45e-01,1.28e-01,4.41e-01,1.38e-02,1.03e-02,1.38e-02,1.03e-02
4.30e+00,2.86e-02,1.48e+00,1.57e-02,2.59e-03,1.45e-01,1.28e-01,4.41e-01,3.39e-03,1.78e-02,3.39e-03,1.78e-02
4.30e+00,6.45e+00,1.35e-02,3.45e-01,2.59e-03,5.00e-03,3.25e-01,2.41e-01,2.39e-02,1.39e-02,2.39e-02,1.39e-02
4.30e+00,6.45e+00,1.48e+00,1.57e-02,2.59e-03,5.00e-03,3.25e-01,2.41e-01,3.74e-03,3.08e-02,3.74e-03,3.08e-02
""
Binary...
IPTG_sensor_I/O,aTc_sensor_I/O,BA_sensor_I/O,M3_I/O,M4_I/O,M7_I/O,M5_I/O,M1_I/O,M2_I/O,M6_I/O,nanoluc_reporter_2_I/O,nanoluc_reporter_I/O
0,0,0,1,1,1,0,1,0,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0
0,1,1,0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,0
1,0,1,0,0,1,0,1,0,0,0,0
1,1,0,1,0,0,1,0,1,0,1,0
1,1,1,0,0,0,1,0,0,1,0,1
