Scores...
AraC_sensor,TetR_sensor,LacI_sensor,SrpR,BetI,PhlF,QacR,IcaRA,BM3R1,YFP_reporter
8.20e-03,1.30e-03,3.40e-03,7.18e-03,1.35e-01,6.00e+00,2.80e+00,2.20e+00,1.06e-02,4.56e-02
8.20e-03,1.30e-03,2.80e+00,1.89e+00,7.92e-02,2.08e-02,3.55e-02,2.20e+00,1.06e-02,1.58e-04
8.20e-03,4.40e+00,3.40e-03,7.09e-03,3.69e+00,2.01e-02,2.80e+00,9.06e-02,7.72e-01,1.52e-04
8.20e-03,4.40e+00,2.80e+00,1.30e-02,1.04e-01,6.42e+00,3.55e-02,9.06e-02,7.72e-01,4.88e-02
2.50e+00,1.30e-03,3.40e-03,7.18e-03,1.35e-01,6.00e+00,2.80e+00,2.20e+00,1.00e-02,4.56e-02
2.50e+00,1.30e-03,2.80e+00,1.89e+00,7.92e-02,2.08e-02,3.55e-02,2.20e+00,1.00e-02,1.58e-04
2.50e+00,4.40e+00,3.40e-03,7.18e-03,3.69e+00,2.01e-02,2.80e+00,9.06e-02,1.03e-02,1.52e-04
2.50e+00,4.40e+00,2.80e+00,1.89e+00,1.04e-01,2.08e-02,3.55e-02,9.06e-02,1.03e-02,1.58e-04
""
Binary...
AraC_sensor_I/O,TetR_sensor_I/O,LacI_sensor_I/O,SrpR_I/O,BetI_I/O,PhlF_I/O,QacR_I/O,IcaRA_I/O,BM3R1_I/O,YFP_reporter_I/O
0,0,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,1,0,0
0,1,0,0,1,0,1,0,1,0
0,1,1,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,0,1
1,0,1,1,0,0,0,1,0,0
1,1,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0
