Scores...
LuxR_sensor,CinR_sensor,LacI_sensor,LmrA,HlyIIR,BetI,SrpR,AmeR,PhlF,YFP_reporter_2
3.00e-02,5.00e-03,8.00e-03,1.12e+00,2.06e+00,2.84e+00,9.87e-03,4.48e+00,6.68e-03,6.68e-03
3.00e-02,5.00e-03,1.69e+00,1.12e+00,2.06e+00,5.63e-02,9.87e-03,4.48e+00,8.08e-03,8.08e-03
3.00e-02,3.18e+00,8.00e-03,1.12e+00,4.88e-03,2.84e+00,1.10e-02,4.46e+00,6.68e-03,6.68e-03
3.00e-02,3.18e+00,1.69e+00,1.12e+00,4.88e-03,5.63e-02,1.10e-02,4.46e+00,8.10e-03,8.10e-03
2.23e+00,5.00e-03,8.00e-03,8.18e-02,2.06e+00,2.84e+00,3.09e-02,4.10e+00,6.68e-03,6.68e-03
2.23e+00,5.00e-03,1.69e+00,8.18e-02,2.06e+00,5.63e-02,3.09e-02,4.10e+00,8.71e-03,8.71e-03
2.23e+00,3.18e+00,8.00e-03,8.18e-02,4.88e-03,2.84e+00,2.15e+00,3.40e-01,6.72e-03,6.72e-03
2.23e+00,3.18e+00,1.69e+00,8.18e-02,4.88e-03,5.63e-02,2.15e+00,3.40e-01,5.71e+00,5.71e+00
""
Binary...
LuxR_sensor_I/O,CinR_sensor_I/O,LacI_sensor_I/O,LmrA_I/O,HlyIIR_I/O,BetI_I/O,SrpR_I/O,AmeR_I/O,PhlF_I/O,YFP_reporter_2_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
