part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
L1_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,L1,4,0.0;0.0;0.0,-10,90
L2_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,L2,4,0.0;0.0;0.0,-10,90
L3_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,L3,4,0.0;0.0;0.0,-10,90
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,,pTac,4,0.0;0.0;0.0,-18,90
pCin,Promoter,,,,,0.0;0.0;0.0,,,,,,pCin,4,0.0;0.0;0.0,-18,90
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,,RiboJ53,4,0.98;0.64;0.15,-24,90
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,,PhlF,4,0.98;0.64;0.15,-18,90
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,,ECK120033737,4,0.98;0.64;0.15,-34,90
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,,pPhlF,4,0.98;0.64;0.15,-20,90
RiboJ57,Ribozyme,,,,,0.33;0.33;0.64,,,,,,RiboJ57,4,0.33;0.33;0.64,-24,90
E1,RBS,,,,,0.33;0.33;0.64,,,,,,E1,4,0.33;0.33;0.64,-14,90
BetI,CDS,,,,,0.33;0.33;0.64,,,,,,BetI,4,0.33;0.33;0.64,-18,90
L3S3P11,Terminator,,,,,0.33;0.33;0.64,,,,,,L3S3P11,4,0.33;0.33;0.64,-24,90
pBetI,Promoter,,,,,0.33;0.33;0.64,,,,,,pBetI,4,0.33;0.33;0.64,-20,90
P2,RBS,,,,,0.98;0.64;0.15,,,,,,P2,4,0.98;0.64;0.15,-14,90
AraJ,Ribozyme,,,,,0.91;0.24;0.59,,,,,,AraJ,4,0.91;0.24;0.59,-18,90
V1,RBS,,,,,0.91;0.24;0.59,,,,,,V1,4,0.91;0.24;0.59,-14,90
VanR,CDS,,,,,0.91;0.24;0.59,,,,,,VanR,4,0.91;0.24;0.59,-18,90
ECK120033736,Terminator,,,,,0.91;0.24;0.59,,,,,,ECK120033736,4,0.91;0.24;0.59,-34,90
pVanR,Promoter,,,,,0.91;0.24;0.59,,,,,,pVanR,4,0.91;0.24;0.59,-20,90
F_scar,Scar,,,,,0.0;0.0;0.0,,,,,,F_scar,4,0.0;0.0;0.0,-22,90
E_scar,Scar,,,,,0.0;0.0;0.0,,,,,,E_scar,4,0.0;0.0;0.0,-22,90
D_scar,Scar,,,,,0.0;0.0;0.0,,,,,,D_scar,4,0.0;0.0;0.0,-22,90
C_scar,Scar,,,,,0.0;0.0;0.0,,,,,,C_scar,4,0.0;0.0;0.0,-22,90
B_scar,Scar,,,,,0.0;0.0;0.0,,,,,,B_scar,4,0.0;0.0;0.0,-22,90
A_scar,Scar,,,,,0.0;0.0;0.0,,,,,,A_scar,4,0.0;0.0;0.0,-22,90
Y_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Y_scar,4,0.0;0.0;0.0,-22,90
X_scar,Scar,,,,,0.0;0.0;0.0,,,,,,X_scar,4,0.0;0.0;0.0,-22,90
V_scar,Scar,,,,,0.0;0.0;0.0,,,,,,V_scar,4,0.0;0.0;0.0,-22,90
U_scar,Scar,,,,,0.0;0.0;0.0,,,,,,U_scar,4,0.0;0.0;0.0,-22,90
R_scar,Scar,,,,,0.0;0.0;0.0,,,,,,R_scar,4,0.0;0.0;0.0,-22,90
Q_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Q_scar,4,0.0;0.0;0.0,-22,90
P_scar,Scar,,,,,0.0;0.0;0.0,,,,,,P_scar,4,0.0;0.0;0.0,-22,90
O_scar,Scar,,,,,0.0;0.0;0.0,,,,,,O_scar,4,0.0;0.0;0.0,-22,90
G_scar,Scar,,,,,0.0;0.0;0.0,,,,,,G_scar,4,0.0;0.0;0.0,-22,90
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,,YFP_cassette,4,0.00;0.00;0.00,-34,90
